language,id,text,file,node,lineNumber,lock,comment
ko,line:m_1,소연: 아... 잠깐 기절했...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,5,a602ec9e,
ko,line:m_2,"소연: 뭐야, 여기 어디야?",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,7,e1dd1d79,
ko,line:m_3,뱀목귀신: 도착했나?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,9,aa31f25f,
ko,line:m_4,소연: 히...히익?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,11,5a9aa19f,
ko,line:m_5,뱀목귀신: 예전에도 이렇게 꿈에서 만난 적 있지 않나?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,14,1f465bc7,
ko,line:m_6,뱀목귀신: 너의 악랄한 조별과제 무임승차에 감명받아서 지옥대학 초청강사로 데려가려 했었지.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,15,a761c540,
ko,line:m_7,뱀목귀신: 그런데 너는 날 보자마자 기겁하며 사과를 하더니 도망가더군...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,16,20a113ad,
ko,line:m_8,소연: 아... 그때 그 귀신...!!,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,18,720bda1c,
ko,line:m_9,뱀목귀신: 특히 조별모임 빠지려고 <br>오촌당숙이 돌아가셨다는 거짓말을 할 때 기립박수를 쳤다.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,20,bfeb5d29,
ko,line:m_10,소연: 진심으로 반성하고 있습니다...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,22,220f3262,
ko,line:m_11,뱀목귀신: 그런데 너는 다른 조별과제 빌런들과 달리<br>굉장히 특이한 행보를 보이고 있더군.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,24,3d35c94f,
ko,line:m_12,뱀목귀신: 네 행적을 보니<br>그 한 번의 악랄한 무임승차를 제외하면<br>항상 성실하게 조별과제에 참여했더라고.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,25,4310b5c2,
ko,line:m_13,뱀목귀신: 심지어 아까는 열이 39도인데도<br>다른 조원 대신 물리 실험보고서까지 써서 냈더라?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,26,4c944304,
ko,line:m_14,소연: 안 그래도 중간고사 망쳤는데<br>보고서까지 제출 못 하면 너무 끔찍하잖아요...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,28,1328610f,
ko,line:m_15,뱀목귀신: 어쨌든 그런 너를 소재로<br>인간의 반성과 성찰에 관한 졸업논문을 쓰고 싶었는데<br>마침 니가 고열로 시름시름 앓길래 쓰러뜨려서 데려왔다.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,30,5da9a2d0,
ko,line:m_16,소연: 존나 치사하네...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,32,a3a68dd7,
ko,line:m_17,뱀목귀신: 널 지옥에 가두고 관찰을 좀 해야 되겠다.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,34,a6ed0ca7,
ko,line:m_18,소연: 관찰 끝나면 현실로 돌아갈 수는 있는 거에요?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,36,06cbb123,
ko,line:m_19,뱀목귀신: 그건 나도 잘...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,38,c0125e58,
ko,line:m_20,소연: 저를 아주 치사한 방식으로 치사하게 만들 셈이군요...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,40,e772e585,
ko,line:m_21,뱀목귀신: ??,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,42,486cc305,
ko,line:m_22,소연: 아 치사가 비열하다는 뜻이랑 죽음에 이른다는 뜻이 있으니까..,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,44,e0fe3f2f,
ko,line:m_23,뱀목귀신: ...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,46,be968ece,
ko,line:m_24,뱀목귀신: 쨌든 나 좀 도와주라. 나 졸업해야 돼.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,48,f43617d3,
ko,line:m_25,소연: 아니 갑자기 이런 부탁을 하시면...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,50,77cc36ee,
ko,line:m_26,뱀목귀신: 그땐 네 컨디션이 괜찮아서 도망갈 수 있었겠지만<br>이번에는 안 될걸?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,52,8033d86d,
ko,line:m_27,뱀목귀신: 마침 네 부모님도 며칠간 제주도 가셨던데<br>그 동안이라도 좀 도와주라.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,53,8345d039,
ko,line:m_28,소연: 하 씨... 왜 하필 이럴때...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,55,0cef91b2,
ko,line:m_29,"뱀목귀신: 불쌍한 대학원생 돕는 셈 치고, 어?",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,57,12404d48,
ko,line:m_30,"소연: 좆까고 있네, <br>언니가 곧 퇴근할 테니까 그때 119에 신고하던가 하겠죠.",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,59,46147f46,
ko,line:m_31,뱀목귀신: 너희 언니 요즘 야근 자주하지 않니?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,61,f3b6c6f8,
ko,line:m_32,뱀목귀신: 그럼 밤까지만이라도 도와라.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,62,67e83961,
ko,line:m_33,소연: 안돼요! 싫어요! 도와주세요!,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,64,6e19184c,
ko,line:m_34,뱀목귀신: 어딜 도망가려고...!,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,65,c048736b,
