language,id,text,file,node,lineNumber,lock,comment
ko-KR,line:m_1,Soyeon: Ah..I was unconscious for a while...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,5,a602ec9e,
ko-KR,line:m_2,"Soyeon: Wait, where am I?",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,7,e1dd1d79,
ko-KR,line:m_3,Snakyneck: You arrived?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,9,aa31f25f,
ko-KR,line:m_4,Soyeon: Huhhhh...?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,11,5a9aa19f,
ko-KR,line:m_5,Snakyneck: Haven't we met before like this in your dream?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,14,1f465bc7,
ko-KR,line:m_6,Snakyneck: I was really impressed by your heartless free ride in your group project and I was going to invite you as a guest lecturer of the Hell Uni...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,15,a761c540,
ko-KR,line:m_7,Snakyneck: However you were stunned to see me and ran away...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,16,20a113ad,
ko-KR,line:m_8,Soyeon: Oh... you're the ghost I met...!!,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,18,720bda1c,
ko-KR,line:m_9,Snakyneck: I was most impressed <br>when you lied that your parent's cousin passed away to skip the team meeting.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,20,bfeb5d29,
ko-KR,line:m_10,Soyeon: I feel very regretful about that...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,22,220f3262,
ko-KR,line:m_11,"Snakyneck: However, you're very different from the people<br>who become villans in group projects.",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,24,3d35c94f,
ko-KR,line:m_12,Snakyneck: You've participate in group project very faithfully<br>barring that one escape.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,25,4310b5c2,
ko-KR,line:m_13,Snakyneck: You even submitted the physics report instead of your teammate.<br>Even your fever went up to 39 degrees huh?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,26,4c944304,
ko-KR,line:m_14,Soyeon: It would be awful to both forget my report and screw up my midterm...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,28,1328610f,
ko-KR,line:m_15,"Snakyneck: Anyway, I wanted to write a graduation thesis <br>on human reflection and introspection with you as the subject matter, <br>and I just knocked you down here while you were suffering from a high fever.",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,30,5da9a2d0,
ko-KR,line:m_16,Soyeon: You're mean as fuck...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,32,a3a68dd7,
ko-KR,line:m_17,Snakyneck: I'm going to observe you when you were stuck in the hell.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,34,a6ed0ca7,
ko-KR,line:m_18,Soyeon: Can I go back to the real world after observation?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,36,06cbb123,
ko-KR,line:m_19,Snakyneck: Im not sure...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,38,c0125e58,
ko-KR,line:m_20,Soyeon: You're very mean meaning to kill me...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,40,e772e585,
ko-KR,line:m_21,Snakyneck: ??,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,42,486cc305,
ko-KR,line:m_22,"Soyeon: Ah, as the word 'mean' has both meaning of intent and being evil, so...",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,44,e0fe3f2f,
ko-KR,line:m_23,Snakyneck: ...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,46,be968ece,
ko-KR,line:m_24,Snakyneck: Anyway please help me. I have to graduate.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,48,f43617d3,
ko-KR,line:m_25,Soyeon: Wait this is all too sudden...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,50,77cc36ee,
ko-KR,line:m_26,"Snakyneck: You are too weary and sick to run away this time,<br>don't you think?",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,52,8033d86d,
ko-KR,line:m_27,Snakyneck: I know your parents went to Jejudo<br>so help me until they come back.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,53,8345d039,
ko-KR,line:m_28,Soyeon: Damn... this is some bad timing...,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,55,0cef91b2,
ko-KR,line:m_29,"Snakyneck: Please help a poor graduate student, will you?",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,57,12404d48,
ko-KR,line:m_30,"Soyeon: Don't fuck with me, my sister will be off work soon and she could call 119 for me. (*911)",Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,59,fe1cd3a0,
ko-KR,line:m_31,Snakyneck: Doesn't your sister work overnight a lot these days?,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,61,f3b6c6f8,
ko-KR,line:m_32,Snakyneck: So help me until night.,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,62,67e83961,
ko-KR,line:m_33,Soyeon: No! Go away! Somebody help!,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,64,6e19184c,
ko-KR,line:m_34,Snakeyneck: You better not escape from me...!,Assets/Yarn/Main/MeetWithGhost.yarn,MeetWithGhost,65,c048736b,
