language,id,text,file,node,lineNumber,lock,comment
en,line:p1_1,Soyeon: ..My fever went up to 39.8 degrees celsius????,Assets/Yarn/Prologue/Start.yarn,Start,6,36998692,
en,line:p1_2,Soyeon: Am I going to die??,Assets/Yarn/Prologue/Start.yarn,Start,8,1ff62b54,
en,line:p1_3,Soyeon: I can't believe that I also got a new team project right after I finished the report of that physics experiment...,Assets/Yarn/Prologue/Start.yarn,Start,10,50d04989,
en,line:p1_4,Soyeon: I heard that the new team project members are announced in today's class...,Assets/Yarn/Prologue/Start.yarn,Start,11,46d16dca,
en,line:p1_5,Soyeon: Everyone except me would have met each other today huh?,Assets/Yarn/Prologue/Start.yarn,Start,12,18e9be0e,
en,line:p1_6,"Soyeon: Honestly it's quite exhausting to talk to team project members, so isn't it damn good to be able to skip it?",Assets/Yarn/Prologue/Start.yarn,Start,14,9480b77e,
en,line:p1_7,Soyeon:  Seriously I can't go out in this condition given the pandemic...,Assets/Yarn/Prologue/Start.yarn,Start,16,2ba041ed,
en,line:p1_8,"Soyeon: Wait... what if I really caught the ""disease""?",Assets/Yarn/Prologue/Start.yarn,Start,17,92a9bd74,
en,line:p1_9,Soyeon: It would be fucking great to enjoy the holidays after being sick for a few days yeah?,Assets/Yarn/Prologue/Start.yarn,Start,19,52b6e22c,
en,line:p1_10,Soyeon: I need to take a test while getting a prescription.,Assets/Yarn/Prologue/Start.yarn,Start,20,6ba9610f,
en,line:p1_11,Soyeon: Haah... I love free holidays but don't want to pick my nose...,Assets/Yarn/Prologue/Start.yarn,Start,22,412ef282,
en,line:p1_12,"Soyeon: The clinic will be closed soon, so I have to hurry.",Assets/Yarn/Prologue/Start.yarn,Start,23,1.#JE+00,
en,line:p1_13,Soyeon: I wasted too much time writing the physics report...,Assets/Yarn/Prologue/Start.yarn,Start,24,c066e83c,
en,line:p1_n1,Soyeon: Nothing here.,Assets/Yarn/Prologue/NoObject.yarn,NoObject,7,40aecb83,
en,line:p1_f1,Soyeon: It's too cold to go out without a varsity jacket these days.,Assets/Yarn/Prologue/FindObject.yarn,FindObject,9,d2b335ed,
en,line:p1_f2,Soyeon: Do you think I would go out in pajama pants even if I'm an unpopular shit?,Assets/Yarn/Prologue/FindObject.yarn,FindObject,12,ca26340f,
en,line:p1_f3,Soyeon: I'm not sure if sombody would call me... but who knows.,Assets/Yarn/Prologue/FindObject.yarn,FindObject,15,79aa11a5,
en,line:p1_f4,Soyeon: I need my wallet to pay for the medical fee.,Assets/Yarn/Prologue/FindObject.yarn,FindObject,18,63f980c5,
